Time (s),X (hPa)
-0.5623160833347356,1000.2946472167969
0.43804491666378453,1000.3053283691406
1.4384259166690754,1000.3160095214844
2.43880291665846,1000.3414154052734
3.4391069166595116,1000.3744506835938
3.796814916669973,1000.4074096679688
4.863832916671527,1000.4161834716797
5.930850916658528,1000.4545593261719
6.997900916670915,1000.4917144775391
8.064942916666041,1000.5245971679688
9.131986916661845,1000.5500030517578
10.1990309166722,1000.5732727050781
11.266054916661233,1000.5935668945312
12.333094916670234,1000.6138610839844
13.400165916667902,1000.6389617919922
14.467202916668612,1000.6736755371094
15.534253916659509,1000.7154083251953
16.60131391666073,1000.7627868652344
17.66835691666347,1000.8146667480469
18.73539691665792,1000.8539581298828
19.802471916671493,1000.8769226074219
20.869566916662734,1000.8769226074219
21.936635916659725,1000.8686828613281
23.00370591666433,1000.8350372314453
24.07080591666454,1000.7957458496094
25.137886916665593,1000.7577514648438
26.204947916659876,1000.7218933105469
27.272027916667867,1000.6895446777344
28.339146916667232,1000.6645965576172
29.406278916663723,1000.645751953125
30.473407916666474,1000.6249237060547
31.540547916665673,1000.6043243408203
32.6076639166713,1000.5786895751953
33.67475891666254,1000.5467224121094
34.741891916666646,1000.50537109375
35.809000916662626,1000.4631042480469
36.87606691666588,1000.4201507568359
37.94315091666067,1000.3804016113281
39.01028491665784,1000.3493499755859
40.0773999166704,1000.3353118896484
41.144538916661986,1000.3353118896484
42.21166091666964,1000.3527069091797
43.278766916671884,1000.3802490234375
44.34585991666245,1000.4193115234375
45.41294591665792,1000.4592132568359
46.48001591666252,1000.4973602294922
47.547118916671025,1000.5333709716797
48.614187916668016,1000.5634307861328
49.68126991666213,1000.5928039550781
50.74836891666928,1000.6232452392578
51.815487916668644,1000.6562042236328
52.88259591667156,1000.692138671875
53.94970991666196,1000.7337951660156
55.01680791666149,1000.7777404785156
56.083920916658826,1000.8219909667969
57.15105391666293,1000.8644866943359
58.21822591665841,1000.9054565429688
59.28538491667132,1000.9393310546875
60.35248791666527,1000.9593200683594
61.41961391665973,1000.9593200683594
62.48672891665774,1000.948486328125
63.55381991666218,1000.9172821044922
64.62088991666678,1000.8742523193359
65.68798891665938,1000.8259582519531
66.7550639166584,1000.7753753662109
67.82210191666672,1000.7243347167969
68.88917491666507,1000.6730651855469
69.95622291666223,1000.6291961669922
71.02329691666819,1000.5917358398438
72.090426916664,1000.5572509765625
73.15754991666472,1000.52490234375
74.22467091666476,1000.4943084716797
75.29179391666548,1000.4595947265625
76.35896191665961,1000.4179382324219
77.42612291665864,1000.3762054443359
78.49328691666597,1000.3346252441406
79.56045991666906,1000.2947998046875
80.62764491666167,1000.2693939208984
81.69486391666578,1000.2666473388672
82.76203191665991,1000.2666473388672
83.82921291666571,1000.2859497070312
84.89638191666745,1000.3129577636719
85.96353591667139,1000.3363800048828
87.03065291667008,1000.3533935546875
88.09777391667012,1000.3714752197266
89.16491191666864,1000.3898620605469
90.23207391666074,1000.413818359375
91.29920991665858,1000.4400634765625
92.36636791666388,1000.4737091064453
93.43353491666494,1000.5086517333984
94.50066391666769,1000.5465698242188
95.5677789166657,1000.5853271484375
96.63489091666997,1000.6266784667969
97.70199791666528,1000.6661987304688
98.76913091666938,1000.7019805908203
