"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.512628639E-3,-6.673524898E-1,7.705632324E0,8.035939966E-1
2.124784853E-2,-2.626838803E0,6.390868741E0,4.007850518E-2
4.104517529E-2,-8.008372174E0,-9.386069682E-1,-2.104426841E0
6.117700794E-2,-1.112921548E1,-6.325555806E0,-1.826868703E0
8.152305669E-2,-1.111084821E1,-8.685282746E0,2.209862308E-1
1.013373031E-1,-9.639126271E0,-8.467898901E0,2.436627972E0
1.210049425E-1,-1.473292290E1,-7.757085963E0,1.517418637E1
1.405078196E-1,-1.583346733E1,-1.278814832E1,1.657360097E1
1.600942274E-1,-1.236775964E1,-1.743159251E1,1.539049469E1
1.803509315E-1,-7.933411049E0,-1.592554592E1,1.007693621E1
1.998949244E-1,-2.930516578E0,-1.053986912E1,8.601358553E0
2.197845260E-1,-1.064094214E0,-9.317768610E0,9.484683903E0
2.397613820E-1,-4.147209110E0,-1.265004864E1,1.525377403E1
2.596760052E-1,-5.863855498E0,-1.260917530E1,9.146978778E0
2.796398715E-1,-2.038575260E0,-1.297462850E1,9.339982247E0
2.994859105E-1,-7.726258723E-1,-1.358644351E1,3.352851352E0
3.192923801E-1,-1.406927825E0,-1.524918253E1,3.068180241E0
3.393758870E-1,-1.035112717E0,-1.052115742E1,3.079989206E0
3.594003650E-1,6.396983159E-1,3.523447468E-1,3.599055228E-1
3.792629654E-1,5.956782844E0,4.573391107E0,6.150537772E0
3.990793262E-1,1.065422793E1,4.153088414E0,3.182590632E0
4.190658650E-1,9.522544568E0,5.322781437E0,3.116851993E0
4.389891860E-1,6.654934110E0,8.046019284E0,-1.969254219E0
4.586225819E-1,4.139722426E0,8.202727309E-1,-6.634338846E-1
4.783879242E-1,4.987126995E0,3.490877839E0,1.584890013E0
4.981825558E-1,2.482128226E0,1.023965918E1,-2.851267595E0
5.179649942E-1,-1.787701746E0,8.432195002E0,-2.046316436E0
5.375318356E-1,-3.970509445E0,5.086601432E0,2.623587961E0
5.571799477E-1,-6.120425519E0,-1.839110303E0,7.889595936E-1
5.770698531E-1,-5.316331535E0,-6.341893401E0,6.031872984E-1
5.967847427E-1,-7.589789616E0,-2.373043277E0,6.676627539E0
6.168578541E-1,-7.450596808E0,-2.756586607E0,6.994631173E0
6.365021459E-1,-7.705792451E0,-1.286552828E1,8.824331806E0
6.564771444E-1,-6.854201893E0,-2.081449417E1,5.128891468E0
6.763980952E-1,-4.274219093E0,-1.594271859E1,1.999953335E0
6.963729471E-1,-4.027191334E0,-1.035080985E1,-8.268242439E-1
7.167041828E-1,-5.602117248E0,-7.607227849E0,-2.091720981E0
7.366572242E-1,-4.781798535E0,-1.161262225E1,-2.171619119E0
7.561459487E-1,-4.733955755E0,-1.792306202E1,3.445631813E0
7.757489001E-1,-4.355125453E0,-1.756772971E1,9.591756896E0
7.955177177E-1,-9.459810369E-1,-1.349296609E1,1.097226910E1
8.154433936E-1,5.731683454E0,-8.724538857E0,7.447251163E0
8.356477470E-1,1.192905435E1,-3.941761765E-1,7.639686962E-1
8.555884091E-1,1.334504107E1,-6.475448989E-1,2.297605212E0
8.754672743E-1,1.139353040E1,-2.849587970E0,-1.629689107E0
8.952385527E-1,1.122817761E1,-3.606491791E0,-2.102263674E0
9.147493468E-1,1.090713553E1,-3.958513730E0,-5.324764760E-1
9.346863057E-1,1.000085527E1,-6.377927863E0,4.054156154E0
9.545711995E-1,9.137141478E0,-9.109488637E0,8.500609632E0
9.739110755E-1,9.247102144E0,-8.603015162E0,-1.085720072E0
9.935339177E-1,5.655758744E0,-7.366073919E0,-5.025152790E0
1.013261621E0,3.148216147E0,-6.831222181E0,-3.294244091E0
1.033461991E0,1.724525372E0,-7.363992521E0,3.173814500E0
1.053270595E0,1.121796994E-1,-1.027560590E1,9.244177968E0
1.072984862E0,-2.119162357E0,-1.193432815E1,2.314481598E0
1.092713529E0,-4.073765512E0,-7.677650940E0,-2.619810574E0
1.112891463E0,-7.784658249E0,-9.625012776E0,-9.124674001E-1
1.133258888E0,-1.008725021E1,-1.218258968E1,1.970935339E0
1.153259248E0,-5.639470800E0,-6.705482331E0,3.014356495E0
1.173077329E0,-2.428797530E0,-7.724148065E0,7.316379406E0
1.192816319E0,-3.696515302E0,-1.452156773E1,4.598738419E0
1.212736185E0,-3.446534620E0,-1.386986079E1,6.263315964E0
1.232796714E0,-3.818276333E0,-1.165229021E1,5.141022594E0
1.252706593E0,-1.701813322E0,-1.118755410E1,8.131488137E0
1.272529203E0,2.013838722E0,-1.236685837E1,6.733060730E0
1.292429635E0,3.227562435E0,-1.258708229E1,-1.136000741E0
1.312435677E0,3.345348984E0,-1.035095395E1,-5.496826424E-1
1.332371814E0,4.616092682E0,-1.082579191E1,1.270943288E0
1.352254596E0,5.927161417E0,-1.084309421E1,-1.262109104E0
1.371947103E0,7.433897203E0,-5.590917351E0,-1.288112626E0
1.391793590E0,9.219418026E0,-1.456297288E0,-4.501344664E0
1.411923736E0,1.071450177E1,-1.232485395E0,2.193314831E0
1.431798043E0,7.592354600E0,-3.095281937E0,3.754723230E0
1.451921460E0,4.264792163E0,-4.508329604E0,-2.603706286E0
1.471532130E0,1.038862073E1,-5.215313852E0,-3.994138172E-1
1.491542255E0,1.588293303E1,-3.401082525E0,-9.697689112E-1
1.511296797E0,1.657544694E1,-4.064145514E0,-3.356782374E-1
1.530913061E0,6.412745952E0,-6.909583369E0,2.584024483E0
1.550717038E0,-2.646989646E0,-8.119651504E0,5.842220185E0
1.570542506E0,-6.593722491E0,-7.339147081E0,2.042072322E1
1.590306632E0,-6.664065544E0,-1.174082278E1,1.188380183E1
1.610059227E0,-7.818978719E0,-1.301925929E1,-1.762329178E1
1.630240237E0,-7.149080359E0,-1.264530752E1,-6.864582677E0
1.649913205E0,-3.271431234E0,-8.654110960E0,1.630257926E0
1.669743747E0,-5.260349693E-1,-2.542000966E1,-5.241864687E-1
1.689746299E0,-6.040498527E-2,-3.885339289E1,1.335589515E0
1.709659515E0,2.029783247E0,-3.152613525E1,4.588289179E0
1.729979298E0,3.134038060E0,-1.090665417E1,2.013334265E0
1.749584483E0,5.157765268E0,1.424414766E0,2.701115272E0
1.769415070E0,6.802573943E0,6.614767884E0,4.523071134E0
1.789206008E0,6.234605055E0,6.853627543E0,1.485702638E0
1.809116812E0,6.907861374E0,3.685389531E0,2.501050670E0
1.829101054E0,7.173675429E0,1.323373526E0,-1.345943863E0
1.849309464E0,7.225337837E0,6.800688674E-1,-6.679029207E-1
1.869043258E0,5.128265799E0,6.337440675E-1,1.415781056E0
1.888772252E0,3.159662134E0,-2.352618063E0,-1.123749270E0
1.908906064E0,4.715906694E0,-6.723226490E0,-3.178021126E0
1.928902510E0,1.658356387E1,-7.588961679E0,-1.624214407E-1
1.948477919E0,2.151114631E1,-3.915550744E0,9.185197755E-1
1.968502084E0,1.484324210E1,-4.533535139E0,2.048115261E1
1.988141497E0,-2.223905562E-1,-9.271632181E0,1.902223550E1
2.008251573E0,-2.490207468E0,-1.299430250E1,8.907915060E-1
2.028464428E0,-6.745235407E0,-1.404741196E1,-1.030411377E1
2.048489679E0,-8.973626915E0,-1.724354116E1,-2.028027011E1
2.068483658E0,-1.134237331E1,-2.585987949E1,-1.514077561E1
2.088535566E0,-1.232847433E1,-2.194144644E1,3.787478876E1
2.108280060E0,-1.314349910E1,-1.175909971E1,2.042834041E1
2.127781752E0,-1.160042102E1,-1.406553159E1,7.453487155E0
2.148081730E0,-7.387271423E0,-2.872111623E1,2.669952163E0
2.168152852E0,-1.561192343E-1,-3.952635565E1,-2.179033815E0
2.188059311E0,3.725237852E0,-3.427017110E1,-2.191979761E0
2.207780077E0,2.335656117E0,-5.440365224E0,-4.163017584E-1
2.227693620E0,4.083404902E0,-1.622268811E0,-1.033998865E1
2.247625892E0,8.633416670E0,1.006258508E0,-1.210338029E1
2.267438579E0,1.054892534E1,7.305774056E0,-6.967629480E0
2.286972396E0,8.592961148E0,9.845069894E0,-2.581104037E0
2.306755765E0,6.064380680E0,1.374201624E1,4.858117466E0
2.326834080E0,1.753139384E1,1.300467015E1,1.072220211E1
2.346627748E0,2.694200925E1,8.026623959E0,8.614207514E0
2.366680585E0,2.469447394E1,2.078283713E0,5.869932324E0
