"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.127291671E-3,-2.390863001E-1,-5.963133574E-1,-3.883313537E-1
2.418129169E-2,-5.532736778E-1,-5.674339533E-1,-2.973052561E-1
4.423529172E-2,-4.704304039E-1,-6.124539971E-1,-2.275784761E-1
6.428829167E-2,-4.653898180E-1,-6.453003883E-1,-1.036220193E-1
8.434229170E-2,-4.429531693E-1,-6.362311840E-1,-1.142429709E-1
1.043962917E-1,-2.779782712E-1,-5.526854992E-1,-1.805299371E-1
1.244502917E-1,-1.816789061E-1,-4.834171832E-1,-2.283195704E-1
1.445042917E-1,-1.631727219E-1,-4.784877896E-1,-1.693758965E-1
1.645582917E-1,-2.260729522E-1,-5.797148943E-1,-2.026771754E-1
1.846112917E-1,-3.044633567E-1,-5.807394385E-1,-1.951705217E-1
2.046652917E-1,-3.398080170E-1,-3.944702446E-1,-1.143361107E-1
2.247192917E-1,-2.192472070E-1,-2.648411393E-1,-8.565317094E-2
2.447732917E-1,-8.653201908E-2,-2.722562253E-1,-9.691767395E-2
2.648262917E-1,-7.442236692E-2,-4.299112558E-1,-8.411268145E-2
2.848802917E-1,-2.625306249E-1,-7.319879532E-1,-1.802012175E-1
3.049342917E-1,-8.354253769E-1,-1.157767653E0,-2.070106119E-1
3.249882917E-1,-1.348373652E0,-1.448308825E0,-2.261009365E-1
3.450422917E-1,-1.799163938E0,-1.513055921E0,-1.844725013E-1
3.650952917E-1,-1.834815264E0,-1.643666983E0,-4.894179404E-1
3.851492917E-1,-1.890256286E0,-2.222410679E0,-9.036512375E-1
4.052032917E-1,-2.257595062E0,-2.739140034E0,-4.431241453E-1
4.252572917E-1,-2.969747782E0,-4.167554855E0,8.965891600E-1
4.453112917E-1,-3.482597351E0,-4.309726238E0,2.142398834E0
4.653642917E-1,-3.034585953E0,-2.508188009E0,2.266351461E0
4.854182917E-1,-1.352840424E0,-6.418823004E-1,1.680169821E0
5.054722917E-1,7.140898108E-1,1.579551399E-1,1.429123640E0
5.255262917E-1,1.931192636E0,-4.794794135E-3,6.956852078E-1
5.455802917E-1,2.099999905E0,-4.949121475E-1,2.247435749E-1
5.656332917E-1,1.736641884E0,-1.048039794E0,3.489665985E-1
5.856872917E-1,1.311322451E0,-9.210524559E-1,1.620614231E-1
6.057412917E-1,1.317451835E0,-1.103959322E0,-5.851194263E-2
6.257960417E-1,1.070641756E0,-1.997176886E0,-1.952680945E-1
6.458500417E-1,5.083624721E-1,-2.089822769E0,-2.302973270E-1
6.659030417E-1,3.523935080E-1,-1.788529634E0,7.457920164E-2
6.859570417E-1,5.352971554E-1,-2.083727598E0,2.027763277E-1
7.060110417E-1,2.942577302E-1,-3.121954918E0,2.013691813E-1
7.260650417E-1,-1.425065547E-1,-3.290729046E0,-4.202628508E-2
7.461190417E-1,-3.922512010E-2,-3.484002113E0,5.590170622E-1
7.661720417E-1,4.401472509E-1,-4.543142796E0,1.199246526E0
7.862260417E-1,3.220428526E-1,-4.858653545E0,1.595135808E0
8.062800417E-1,-7.459182143E-1,-4.014820099E0,1.755612850E0
8.263340417E-1,-1.144813776E0,-3.718521595E0,1.805889726E0
8.463880417E-1,-5.826086402E-1,-3.662065268E0,1.893088460E0
8.664410417E-1,3.057079613E-1,-3.903647423E0,2.078283072E0
8.864950417E-1,1.006272674E0,-4.092392921E0,2.424037933E0
9.065490417E-1,1.471899390E0,-4.326961040E0,2.685324430E0
9.266030417E-1,1.530567884E0,-3.920493364E0,2.828535557E0
9.466570417E-1,4.785541594E-1,-2.895829916E0,3.175407648E0
9.667100417E-1,-1.158986211E0,-1.366618514E0,3.360615253E0
9.867640417E-1,-1.880312800E0,-3.416626751E-1,2.864552975E0
1.006818042E0,-1.346329689E0,-7.466005534E-2,2.327215195E0
1.026872042E0,-4.172996283E-1,-4.984281361E-1,2.290762186E0
1.046926042E0,2.318280935E-1,-1.379190803E0,2.363495350E0
1.066979042E0,2.033732980E-1,-1.915061712E0,2.191138744E0
1.087033042E0,-3.888228834E-1,-9.635806084E-1,1.692747831E0
1.107087042E0,-6.211903691E-1,2.175074667E-1,1.112583280E0
1.127141042E0,-4.941261113E-1,4.927718341E-1,9.747226834E-1
1.147195042E0,-3.991895616E-1,2.612562180E-1,8.454849124E-1
1.167248042E0,-1.813617349E-1,-2.438974939E-2,6.849433780E-1
1.187302042E0,-6.598363817E-2,-4.114488363E-1,8.965472579E-1
1.207356042E0,1.780977398E-1,-1.084322333E0,1.033009410E0
1.227410042E0,3.969950676E-1,-1.068527937E0,8.310626745E-1
1.247464042E0,2.820430696E-1,-5.090312362E-1,7.015037537E-1
1.267517042E0,1.635076553E-1,-7.959804535E-1,5.602084398E-1
1.287571042E0,5.308615565E-1,-1.937916636E0,2.276136130E-1
1.307625042E0,7.377359867E-1,-2.609992027E0,-2.276472002E-1
1.327679042E0,4.160819352E-1,-2.243017197E0,-2.505136728E-1
1.347733042E0,-1.625505537E-1,-1.479277134E0,-4.297502935E-1
1.367786042E0,-9.684532881E-1,-1.176279187E0,-8.853294849E-1
1.387840042E0,-1.473750353E0,-7.297325730E-1,-1.469770193E0
1.407894042E0,-7.661773562E-1,-9.981785417E-1,-1.488801479E0
1.427948042E0,4.772871137E-1,-1.727114201E0,-1.463296533E0
1.448002042E0,7.427511215E-1,-1.299193621E0,-1.633565664E0
1.468055042E0,6.008658409E-1,-5.035488605E-1,-1.450476289E0
1.488109042E0,3.956037164E-1,8.109886199E-2,-1.002627730E0
1.508163042E0,7.914062589E-2,8.398004174E-1,-6.855508685E-1
1.528217042E0,-1.699711662E-3,8.937324882E-1,-2.233076990E-1
