"Time (s)","X (hPa)"
-5.632108334E-1,9.974333191E2
4.431791666E-1,9.974376678E2
1.449572167E0,9.974369049E2
2.455985167E0,9.974377441E2
3.462390167E0,9.974369049E2
3.812728167E0,9.974339294E2
4.886224167E0,9.974333191E2
5.959745167E0,9.974250031E2
7.033329167E0,9.974190521E2
8.106899167E0,9.974117279E2
9.180404167E0,9.974063873E2
1.025391817E1,9.974003601E2
1.132744617E1,9.973979187E2
1.240093517E1,9.973971558E2
1.347443817E1,9.973952484E2
1.454789217E1,9.973938751E2
1.562132317E1,9.973920441E2
1.669479017E1,9.973901367E2
1.776834517E1,9.973889160E2
1.884185917E1,9.973889160E2
1.991535317E1,9.973908234E2
2.098886017E1,9.973943329E2
2.206236817E1,9.973980713E2
2.313586417E1,9.974021912E2
2.420934717E1,9.974037933E2
2.528284217E1,9.974047089E2
2.635636517E1,9.974051666E2
2.742988017E1,9.974075317E2
2.850341417E1,9.974095917E2
2.957692617E1,9.974161530E2
3.065046117E1,9.974235535E2
3.172395717E1,9.974337769E2
3.279741117E1,9.974475098E2
3.387087417E1,9.974634552E2
3.494435117E1,9.974781036E2
3.601785517E1,9.974858093E2
3.709131417E1,9.974858093E2
3.816480317E1,9.974796295E2
3.923826517E1,9.974634552E2
4.031179417E1,9.974453735E2
4.138529617E1,9.974360657E2
4.245883017E1,9.974263763E2
4.353232017E1,9.974263763E2
4.460583417E1,9.974271393E2
4.567933517E1,9.974315643E2
4.675283817E1,9.974317932E2
4.782635917E1,9.974359894E2
4.889985717E1,9.974422455E2
4.997333617E1,9.974465942E2
5.104677117E1,9.974523163E2
5.212022517E1,9.974559021E2
5.319370317E1,9.974620819E2
5.426718017E1,9.974658966E2
5.534064717E1,9.974712372E2
5.641410517E1,9.974767303E2
5.748757117E1,9.974825287E2
5.856102017E1,9.974847412E2
5.963449217E1,9.974854279E2
6.070804517E1,9.974848175E2
6.178156917E1,9.974854279E2
6.285507417E1,9.974877930E2
6.392857717E1,9.974887848E2
6.500208917E1,9.974932861E2
6.607559417E1,9.974946594E2
6.714911117E1,9.974959564E2
6.822261817E1,9.974964905E2
6.929610517E1,9.974959564E2
7.036958617E1,9.974941254E2
7.144307617E1,9.974939728E2
7.251660917E1,9.974908447E2
7.359015417E1,9.974880981E2
7.466369317E1,9.974829102E2
7.573717617E1,9.974802399E2
7.681063817E1,9.974751282E2
7.788408917E1,9.974701691E2
7.895756717E1,9.974650574E2
8.003104617E1,9.974621582E2
8.110453217E1,9.974595642E2
8.217804117E1,9.974562836E2
8.325153617E1,9.974562836E2
8.432499617E1,9.974570465E2
8.539849717E1,9.974592590E2
8.647195917E1,9.974602509E2
8.754542717E1,9.974639130E2
8.861896117E1,9.974670410E2
8.969254617E1,9.974706268E2
9.076606317E1,9.974739075E2
9.183955517E1,9.974763489E2
9.291307617E1,9.974793243E2
9.398662917E1,9.974797821E2
9.506015417E1,9.974798584E2
9.613367417E1,9.974801636E2
9.720721417E1,9.974798584E2
9.828075917E1,9.974790192E2
9.935428617E1,9.974784088E2
1.004277982E2,9.974790192E2
1.015013202E2,9.974791718E2
1.025748622E2,9.974800873E2
1.036483462E2,9.974816895E2
1.047218412E2,9.974839783E2
1.057953132E2,9.974851990E2
1.068688172E2,9.974872589E2
1.079422852E2,9.974872589E2
1.090158142E2,9.974877930E2
1.100893582E2,9.974884033E2
1.111628932E2,9.974877930E2
1.122364282E2,9.974861145E2
1.133099752E2,9.974852753E2
1.143834792E2,9.974819946E2
1.154569542E2,9.974800873E2
1.165304792E2,9.974772644E2
1.176039992E2,9.974764252E2
1.186774682E2,9.974764252E2
1.197509522E2,9.974765778E2
1.208244382E2,9.974799347E2
1.218979132E2,9.974836731E2
1.229713602E2,9.974906158E2
1.240449272E2,9.974969482E2
1.251184562E2,9.975067902E2
1.261919802E2,9.975150299E2
1.272654672E2,9.975254059E2
1.283389472E2,9.975314331E2
1.294124182E2,9.975373077E2
1.304859032E2,9.975402069E2
1.315593932E2,9.975429535E2
1.326329152E2,9.975440979E2
1.337063882E2,9.975440979E2
1.347798352E2,9.975437927E2
1.358532922E2,9.975408173E2
1.369267542E2,9.975388336E2
1.380002452E2,9.975354767E2
1.390737562E2,9.975354767E2
1.401472702E2,9.975359344E2
1.412208342E2,9.975415802E2
1.422943372E2,9.975485229E2
1.433679062E2,9.975569153E2
1.444413982E2,9.975644684E2
1.455148832E2,9.975711823E2
1.465883812E2,9.975756073E2
1.476618902E2,9.975759125E2
1.487353722E2,9.975759125E2
1.498088822E2,9.975724030E2
1.508823982E2,9.975701904E2
1.519559172E2,9.975682068E2
1.530294382E2,9.975682068E2
1.541029692E2,9.975693512E2
1.551764002E2,9.975762939E2
1.562498962E2,9.975836945E2
1.573233912E2,9.975946045E2
1.583968782E2,9.976027679E2
1.594703862E2,9.976114655E2
1.605438682E2,9.976148987E2
1.616173492E2,9.976148987E2
1.626908832E2,9.976119995E2
1.637643322E2,9.976051331E2
1.648378102E2,9.975964355E2
1.659112472E2,9.975865173E2
1.669846682E2,9.975798798E2
1.680581362E2,9.975743103E2
1.691315862E2,9.975733948E2
1.702050362E2,9.975733948E2
1.712784622E2,9.975758362E2
1.723519382E2,9.975758362E2
1.734254132E2,9.975751495E2
1.744988972E2,9.975685120E2
1.755724062E2,9.975592041E2
1.766459112E2,9.975485229E2
1.777194022E2,9.975354767E2
