"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.319570829E-2,1.559349346E1,-1.685041046E1,-2.900756836E0
4.324870830E-2,1.568473434E1,-1.680380249E1,-3.541381836E0
6.330170832E-2,1.558222389E1,-1.678220558E1,-4.375427246E0
8.335570834E-2,1.546109295E1,-1.669739914E1,-4.389404297E0
1.034087083E-1,1.533094692E1,-1.668413162E1,-4.663208008E0
1.234617083E-1,1.538385963E1,-1.662274361E1,-5.216064453E0
1.435157083E-1,1.533018494E1,-1.655323601E1,-6.152893066E0
1.635687083E-1,1.522636032E1,-1.618931198E1,-6.763671875E0
1.836217083E-1,1.512553406E1,-1.606051064E1,-7.270629883E0
2.036747083E-1,1.481817245E1,-1.588407135E1,-8.121093750E0
2.237287083E-1,1.440106201E1,-1.583413315E1,-8.774475098E0
2.437817083E-1,1.425072193E1,-1.563302803E1,-9.404357910E0
2.638347083E-1,1.430891800E1,-1.546532249E1,-9.890319824E0
2.838877083E-1,1.400825310E1,-1.527177620E1,-9.805053711E0
3.039417083E-1,1.372059441E1,-1.506797218E1,-1.017736816E1
3.239947083E-1,1.353289127E1,-1.505941391E1,-1.050823975E1
3.440477083E-1,1.348949814E1,-1.474134445E1,-1.104565430E1
3.641017083E-1,1.332900238E1,-1.467539787E1,-1.105548096E1
3.841547083E-1,1.285786247E1,-1.502976799E1,-1.084222412E1
4.042077083E-1,1.242612648E1,-1.553951645E1,-1.099127197E1
4.242607083E-1,1.138803864E1,-1.607225800E1,-1.120910645E1
4.443147083E-1,9.837706566E0,-1.667117500E1,-1.159460449E1
4.643677083E-1,9.979397774E0,-1.675972176E1,-1.168658447E1
4.844207083E-1,1.024152660E1,-1.658254814E1,-1.111987305E1
5.044747083E-1,1.078080177E1,-1.599633026E1,-1.140783691E1
5.245277083E-1,1.164573002E1,-1.496244621E1,-1.172357178E1
5.445807083E-1,1.237706375E1,-1.368555069E1,-1.209820557E1
5.646337083E-1,1.229725456E1,-1.251098251E1,-1.295971680E1
5.846877083E-1,1.156668282E1,-1.187863922E1,-1.413146973E1
6.047407083E-1,1.106264019E1,-1.136140442E1,-1.518621826E1
6.247937083E-1,1.042705154E1,-1.059112930E1,-1.597418213E1
6.448467083E-1,1.111623001E1,-9.487751007E0,-1.630938721E1
6.649007083E-1,1.169183159E1,-8.764949799E0,-1.634588623E1
6.849537083E-1,1.265174770E1,-7.247188568E0,-1.661907959E1
7.050067083E-1,1.328699493E1,-5.648361206E0,-1.652227783E1
7.250607083E-1,1.406981659E1,-3.859790802E0,-1.626135254E1
7.451137083E-1,1.456748867E1,-2.867797852E0,-1.590942383E1
7.651667083E-1,1.541948318E1,-1.943283081E0,-1.529583740E1
7.852207083E-1,1.592034435E1,-7.642288208E-1,-1.479034424E1
8.052737083E-1,1.637735748E1,2.896308899E-1,-1.475573730E1
8.253267083E-1,1.681242752E1,1.275302887E0,-1.460137939E1
8.453797083E-1,1.745471001E1,1.922145844E0,-1.434277344E1
8.654337083E-1,1.796522141E1,2.363998413E0,-1.365423584E1
8.854867083E-1,1.870126915E1,2.802162170E0,-1.279968262E1
9.055397083E-1,1.942329025E1,3.062339783E0,-1.189251709E1
9.255937083E-1,2.010113144E1,3.396106720E0,-1.163415527E1
9.456467083E-1,2.046366501E1,3.669708252E0,-1.113873291E1
9.656996666E-1,2.058058357E1,3.954750061E0,-1.096978760E1
9.857536667E-1,2.078451538E1,3.995113373E0,-1.087133789E1
1.005806667E0,2.116068268E1,4.571350098E0,-9.934570312E0
1.025859667E0,2.143234634E1,4.840461731E0,-9.260742188E0
1.045912667E0,2.171697998E1,5.296241760E0,-8.955871582E0
1.065966667E0,2.186216164E1,5.525814056E0,-8.491882324E0
1.086019667E0,2.192057991E1,5.717014313E0,-8.717773438E0
1.106072667E0,2.207779503E1,5.808654785E0,-8.390380859E0
1.126126667E0,2.241101074E1,5.897052765E0,-7.812500000E0
1.146179667E0,2.243702316E1,5.995868683E0,-7.554626465E0
1.166232667E0,2.263132286E1,5.952373505E0,-7.030029297E0
1.186286667E0,2.280797195E1,6.061607361E0,-6.615173340E0
1.206339667E0,2.305244446E1,6.024063110E0,-6.522216797E0
1.226392667E0,2.319770050E1,5.718803406E0,-5.862487793E0
1.246446667E0,2.332377052E1,5.583274841E0,-5.753051758E0
1.266499667E0,2.367425156E1,5.589912415E0,-5.317077637E0
1.286552667E0,2.367096138E1,5.318809509E0,-4.818420410E0
1.306606667E0,2.383992386E1,5.060821533E0,-4.911010742E0
1.326659667E0,2.416163635E1,4.719234467E0,-4.797424316E0
1.346712667E0,2.416113853E1,4.503170013E0,-4.713989258E0
1.366766667E0,2.418645096E1,4.297039032E0,-4.201660156E0
1.386819667E0,2.450317383E1,4.060825348E0,-4.224853516E0
1.406872667E0,2.460111237E1,3.828014374E0,-4.039794922E0
1.426926667E0,2.458650970E1,3.688587189E0,-4.108093262E0
1.446979667E0,2.433879089E1,3.638011932E0,-4.100769043E0
1.467032667E0,2.454249954E1,3.444904327E0,-3.844238281E0
1.487085667E0,2.441136932E1,3.568714142E0,-3.986816406E0
1.507139667E0,2.445326996E1,3.283691406E0,-4.047363281E0
1.527192667E0,2.454234314E1,3.264640808E0,-4.239074707E0
1.547245667E0,2.447626877E1,3.249191284E0,-4.498535156E0
1.567299667E0,2.438458252E1,3.243011475E0,-4.528198242E0
1.587352667E0,2.440773392E1,3.091182709E0,-4.888732910E0
1.607405667E0,2.439294434E1,2.923778534E0,-4.559814453E0
1.627459667E0,2.438221550E1,2.918392181E0,-4.673461914E0
1.647512667E0,2.423407745E1,2.834709167E0,-4.481018066E0
1.667565667E0,2.442293167E1,2.715606689E0,-4.216918945E0
1.687619667E0,2.443683815E1,2.647888184E0,-4.871582031E0
1.707672667E0,2.450428391E1,2.361179352E0,-4.715393066E0
1.727726667E0,2.436529922E1,2.451786041E0,-4.685729980E0
1.747779667E0,2.440791321E1,2.368431091E0,-4.827514648E0
1.767832667E0,2.435509109E1,2.354846954E0,-4.816223145E0
1.787886667E0,2.438144684E1,2.095600128E0,-4.686462402E0
1.807939667E0,2.418993759E1,2.019409180E0,-5.030212402E0
1.827992667E0,2.419461060E1,1.904468536E0,-5.369812012E0
1.848046667E0,2.417581940E1,1.622890472E0,-5.137145996E0
1.868099667E0,2.420725250E1,1.588142395E0,-5.045227051E0
1.888152667E0,2.402212524E1,1.497295380E0,-5.313659668E0
1.908206667E0,2.388298416E1,1.272834778E0,-5.929199219E0
1.928259667E0,2.377012825E1,1.140930176E0,-6.458557129E0
1.948312667E0,2.363096237E1,8.044013977E-1,-6.521301270E0
1.968367042E0,2.357527924E1,5.638084412E-1,-6.749023438E0
1.988420042E0,2.344313240E1,3.697967529E-2,-6.260192871E0
2.008473042E0,2.337921524E1,-1.861457825E-1,-6.863342285E0
2.028527042E0,2.337589645E1,-7.222557068E-1,-6.774169922E0
2.048580042E0,2.341315079E1,-1.216091156E0,-6.988220215E0
2.068633042E0,2.317802048E1,-1.599369049E0,-7.039550781E0
2.088687042E0,2.292248917E1,-1.942798615E0,-7.247192383E0
2.108740042E0,2.287807846E1,-2.200332642E0,-7.552673340E0
2.128793042E0,2.264878273E1,-2.493095398E0,-8.180053711E0
2.148847042E0,2.265181351E1,-2.786552429E0,-8.183959961E0
2.168900042E0,2.263690567E1,-3.062187195E0,-8.410766602E0
